"","CowID","Cow.Birth.Date","Farm.Name","Farm.No","Cow.Breed","Cow.Exit.Date","BS.DATE","BS.Month","BS.MS.Date.Difference","BS.DIM","Hapto.Result","Hapto.Log","Hapto.0.1","Hapto0.35","Hapto.HML","Hapto.HL","BS.NEFA","BS.BHBA","MS.Date.Taken","MS.Time.Taken","Calving.Date","Calving.No","Hfr.or.Cow","MS.DIM","MS.Date.Analyzed","Milk.Yield","MS.Milk.Yield","MS.Fat","MS.Protein","MS.S.Cell.Count","MS.Lactose","MS.Urea","MS.pH","MS.Acetone","MS.BHBA","MS.NEFA","MS.NSFA","MS.MFA","MS.PFA","MS.SFA","MS.Palmeic","MS.Stearine","MS.Oleic","CE.Date","CE.Temp","CE.Environ.Temp","CE.Fat.Level","CE.Skin.Dehydration","CE.Stom.Tension","CE.Stom.Layering","CE.Stom.Fluid.Movement","CE.Stom.Ping","CE.Stom.Fullness","CE.Stom.Noise.Freq","CE.Waste.Consistency","CE.Waste.Digestion","CE.Locomotion.Score","CE.Lame","BS.NEFA.Log","BS.BHBA.Log","MS.S.Cell.Count.Log","MS.BHBA.Log","MS.Acetone.Log","BS.NEFA.0.7","BS.BHBA.1.2","Hapto0.35.2","BS.Month2","BS.Month_warm","CE.Stom.Fullness01","CE.Stom.Tension01"
"384","276000949220027",2013-12-26,"Landmann","19174113184","01",NA,2018-06-05,"06-2018",1,16,5245,8.5650305208304,"1","1","1","NA",1.3,1.03,2018-06-04,"17:35:00",2018-05-20,3,"cow",15,2018-06-06,39,13,4.01,3.3,161,4.79,28.3,6.61,160,90,NA,16.5,NA,NA,NA,NA,NA,NA,2018-06-05,39.2,NA,20,"phy","phy","1","obb","obb","norm",NA,"norm","maess","1","0",0.262364264467491,0.0295588022415444,5.08140436498446,4.49980967033027,5.07517381523383,"1","0","1","06-2018","0","0","0"
"385","276000949220027",2013-12-26,"Landmann","19174113184","01",NA,2018-06-12,"06-2018",0,23,51360,10.8466149383638,"1","1","2","3",0.61,1.05,2018-06-12,"00:00:00",2018-05-20,3,"cow",23,2018-06-13,28,11.5,4.99,2.99,1172,4.74,29.6,6.54,120,100,1.13,20.8,1.734,0.195,2.754,1.089,0.624,1.658,2018-06-12,38.5,25,19,"phy","phy","1","obb","obb","abnorm",NA,"norm","maess","2","0",-0.49429632181478,0.048790164169432,7.06646697013696,4.60517018598809,4.78749174278205,"0","0","1","06-2018","0","1","0"
"386","276000950146236",2015-05-10,"Landmann","19174113184","01",NA,2018-11-27,"11-2018",0,13,280,5.63478960316925,"0","0","0","1",0.9,0.82,2018-11-27,"00:00:00",2018-11-14,2,"cow",13,2018-11-28,42.6,12,5.75,3.36,40,4.95,25.2,6.66,140,100,6.6,23,1.939,0.207,3.321,1.346,0.691,1.808,2018-11-27,38.7,10,17,"phy","phy","1","obb","obb","norm","phy","thick","gut","2","0",-0.105360515657826,-0.198450938723838,3.68887945411394,4.60517018598809,4.9416424226093,"1","0","0","11-2018","0","0","0"
"387","276000943956602",2009-07-30,"Landmann","19174113184","01",NA,2018-10-09,"10-2018",0,28,71330,11.1750722752721,"1","1","2","3",0.03,0.44,2018-10-09,"00:00:00",2018-09-11,8,"cow",28,2018-10-11,20.4,6.8,4.42,3.62,100,4.49,14.5,6.65,60,10,6.1,13.3,1.124,0.12,2.84,1.357,0.426,1.01,2018-10-09,38.5,18.4,28,"phy","phy","1","obb","obb","abnorm",NA,"norm","gut","2","0",-3.50655789731998,-0.82098055206983,4.60517018598809,2.30258509299405,4.0943445622221,"0","0","1","10-2018","0","1","0"
"388","276000949220059",2014-03-10,"Landmann","19174113184","01",NA,2018-10-23,"10-2018",0,12,767450,13.5508286097416,"1","1","2","3",0.99,0.43,2018-10-23,"12:00:00",2018-10-11,3,"cow",12,2018-10-24,38.7,14.8,3.98,3.55,230,4.85,23.6,6.66,50,50,7.6,14.6,1.218,0.168,2.295,0.99,0.518,1.115,2018-10-23,39,15.8,10,"phy","erh","1","obb","obb","norm","bis_2","thick","gut","5","1",-0.0100503358535015,-0.843970070294529,5.4380793089232,3.91202300542815,3.91202300542815,"1","0","1","10-2018","0","0","1"
"389","276000947712054",2012-08-14,"Landmann","19174113184","01",NA,2018-08-28,"08-2018",0,12,2327,7.75233516330229,"1","0","0","1",2.29,3.66,2018-08-28,"12:00:00",2018-08-16,4,"cow",12,2018-08-29,43.5,12.2,7.14,3.61,393,4.28,30.9,6.5,640,290,8.9,31.1,2.591,0.248,3.984,1.46,0.937,2.519,2028-08-28,38.1,25.9,17,"phy","phy","0","obb","obb","norm","bis_2","thick","gut","4","1",0.828551817566148,1.29746314741327,5.97380961186926,5.66988092298052,6.46146817635372,"1","1","0","08-2018","1","0","0"
"390","276000951236408",2015-12-22,"Landmann","19174113184","01",NA,2018-09-18,"09-2018",0,10,760,6.63331843328038,"0","0","0","1",1.77,3.22,2018-09-18,"12:00:00",2018-09-08,1,"hfr",10,2018-09-19,NA,7.2,6.38,3.73,73,4.73,37.7,6.62,1790,220,7.8,34.8,3.026,0.253,2.937,0.949,0.924,2.94,2018-09-18,38.7,27.9,32,"phy","phy","1","obb","obb","norm","bis_2","thick","gut","2","0",0.570979546585738,1.16938135955632,4.29045944114839,5.39362754635236,7.4899708988348,"1","1","0","09-2018","1","0","0"
"391","276000951236409",2015-12-22,"Landmann","19174113184","01",2018-10-04,2018-07-03,"07-2018",0,21,8857,9.08896338580958,"1","1","1","NA",0.78,0.94,2018-07-03,"00:00:00",2018-06-12,1,"hfr",21,2018-07-05,28.6,15.4,4.74,2.84,47,4.83,37,6.68,100,90,7.8,20.9,1.792,0.213,2.511,1.018,0.652,1.669,2018-07-03,39.1,25,16,"phy","phy","1","obb","obb","norm",NA,"norm","gut","3","1",-0.2484613592985,-0.0618754037180875,3.85014760171006,4.49980967033027,4.60517018598809,"1","0","1","07-2018","1","0","0"
"392","276000950146209",2015-03-20,"Landmann","19174113184","01",NA,2018-08-14,"08-2018",0,12,1841.5,7.51833573588512,"1","0","0","1",0.96,1.08,2018-08-14,"12:00:00",2018-08-02,2,"cow",12,2018-08-16,44.7,12,6.35,3.17,95,4.78,41.2,6.58,210,120,9.2,27.9,2.344,0.244,3.545,1.352,0.826,2.254,2018-08-14,38.7,25,19,"phy","phy","1","obb","obb","abnorm",NA,"norm","maess","4","1",-0.0408219945202552,0.0769610411361284,4.55387689160054,4.78749174278205,5.34710753071747,"1","0","0","08-2018","1","1","0"
"393","276000947493827",2012-12-12,"Landmann","19174113184","01",NA,2018-11-20,"11-2018",0,21,280,5.63478960316925,"0","0","0","1",0.33,0.65,2018-11-20,"00:00:00",2018-10-30,4,"cow",21,2018-11-21,41.6,2.9,4.31,3.3,56,4.99,23.7,6.67,100,70,1.12,16.1,1.35,0.147,2.524,1.124,0.456,1.221,2018-11-20,38.4,9.3,19,"phy","phy","1","obb","obb","norm","phy","thick","maess","2","0",-1.10866262452161,-0.430782916092454,4.02535169073515,4.24849524204936,4.60517018598809,"0","0","0","11-2018","0","0","0"
